,at_bat_count,batter,double,double_play,field_out,home_run,single,strikeout,triple,walk
0,826,660670,0.037530266,0.013317191,0.382566586,0.053268765,0.157384988,0.240920097,0.006053269,0.108958838
1,757,645277,0.047556143,0.01321004,0.511228534,0.026420079,0.158520476,0.169088507,0.009247028,0.064729194
2,806,518692,0.059479554,0.026022305,0.412639405,0.042131351,0.159851301,0.194547708,0.004956629,0.100371747
3,485,518626,0.051440329,0.026748971,0.366255144,0.053497942,0.111111111,0.236625514,0,0.154320988
4,238,663586,0.033613445,0.016806723,0.336134454,0.067226891,0.12605042,0.357142857,0.004201681,0.058823529
5,361,452095,0.030470914,0.030470914,0.332409972,0.033240997,0.12465374,0.332409972,0.005540166,0.110803324
6,144,594807,0.048611111,0.020833333,0.430555556,0.020833333,0.097222222,0.284722222,0,0.097222222
7,484,622666,0.051759834,0.02484472,0.461697723,0.028985507,0.149068323,0.219461698,0.002070393,0.062111801
8,18,572971,0.055555556,0,0.111111111,0,0.055555556,0.722222222,0,0.055555556
9,702,594809,0.042735043,0.00997151,0.443019943,0.014245014,0.190883191,0.166666667,0.007122507,0.125356125
10,662,607208,0.052870091,0.018126888,0.442598187,0.027190332,0.16918429,0.196374622,0.012084592,0.081570997
11,700,543685,0.071428571,0.027142857,0.451428571,0.05,0.154285714,0.132857143,0.005714286,0.107142857
12,739,665742,0.043301759,0.01894452,0.376184032,0.041948579,0.151556157,0.215155616,0.0067659,0.146143437
13,247,435062,0.052631579,0.032388664,0.461538462,0.048582996,0.186234818,0.133603239,0,0.085020243
14,383,435559,0.046997389,0.028720627,0.532637076,0.039164491,0.146214099,0.130548303,0,0.075718016
15,654,572821,0.048929664,0.02293578,0.425076453,0.036697248,0.103975535,0.232415902,0,0.129969419
16,437,645302,0.04587156,0.013761468,0.431192661,0.038990826,0.135321101,0.236238532,0.006880734,0.091743119
17,74,571578,0,0.040540541,0.351351351,0,0.108108108,0.459459459,0,0.040540541
18,571,624428,0.070052539,0.007005254,0.530647986,0.019264448,0.162872154,0.134851138,0.007005254,0.068301226
19,301,668804,0.066445183,0.016611296,0.355481728,0.023255814,0.199335548,0.222591362,0.006644518,0.109634551
20,713,516782,0.060308555,0.03085554,0.481065919,0.039270687,0.162692847,0.157082749,0.007012623,0.06171108
21,681,605137,0.067647059,0.023529412,0.411764706,0.048529412,0.122058824,0.198529412,0.005882353,0.122058824
22,365,572816,0.095628415,0.040983607,0.448087432,0.027322404,0.155737705,0.174863388,0.010928962,0.046448087
23,515,592567,0.048543689,0.017475728,0.423300971,0.027184466,0.19223301,0.229126214,0.003883495,0.058252427
24,387,621028,0.03875969,0.015503876,0.509043928,0.015503876,0.214470284,0.149870801,0.005167959,0.051679587
25,370,553869,0.051351351,0.021621622,0.497297297,0.016216216,0.172972973,0.17027027,0,0.07027027
26,29,543475,0,0.034482759,0.24137931,0,0.068965517,0.586206897,0,0.068965517
27,274,669222,0.054744526,0.018248175,0.412408759,0.02919708,0.153284672,0.229927007,0.01459854,0.087591241
28,659,458015,0.048558422,0.02276176,0.415781487,0.019726859,0.153262519,0.201820941,0.001517451,0.136570561
29,722,553993,0.034626039,0.027700831,0.354570637,0.060941828,0.128808864,0.28531856,0.001385042,0.106648199
30,624,624577,0.036918138,0.030497592,0.446227929,0.059390048,0.142857143,0.21187801,0.003210273,0.069020867
31,380,608385,0.052631579,0.031578947,0.455263158,0.039473684,0.155263158,0.155263158,0.005263158,0.105263158
32,356,571697,0.033707865,0.019662921,0.438202247,0.028089888,0.185393258,0.213483146,0.008426966,0.073033708
33,494,578428,0.050505051,0.036363636,0.525252525,0.016161616,0.195959596,0.129292929,0.004040404,0.042424242
35,419,571466,0.033333333,0.023809524,0.461904762,0.023809524,0.126190476,0.223809524,0.004761905,0.102380952
36,30,543243,0,0,0.433333333,0,0.133333333,0.366666667,0.033333333,0.033333333
37,701,606466,0.051355207,0.022824536,0.465049929,0.042796006,0.164051355,0.144079886,0.014265335,0.095577746
38,740,500871,0.047361299,0.01488498,0.449255751,0.044654939,0.151556157,0.193504736,0.0135318,0.085250338
39,655,430945,0.054878049,0.039634146,0.487804878,0.027439024,0.169207317,0.158536585,0,0.0625
40,606,444482,0.054365733,0.024711697,0.421746293,0.039538715,0.171334432,0.207578254,0.006589786,0.074135091
41,415,572233,0.050480769,0.012019231,0.387019231,0.050480769,0.115384615,0.286057692,0.002403846,0.096153846
42,388,527038,0.056847545,0.031007752,0.54005168,0.018087855,0.183462532,0.100775194,0,0.069767442
43,661,605113,0.059001513,0.028744327,0.462934947,0.02269289,0.145234493,0.193645991,0.009077156,0.078668684
44,231,608348,0.069264069,0.034632035,0.437229437,0.051948052,0.108225108,0.199134199,0,0.0995671
45,35,518876,0,0.029411765,0.5,0,0.029411765,0.411764706,0,0.029411765
46,593,500743,0.045531197,0.035413153,0.516020236,0.008431703,0.202360877,0.129848229,0,0.062394604
47,461,435522,0.039045553,0.026030369,0.4164859,0.030368764,0.151843818,0.221258134,0.002169197,0.112798265
48,287,643265,0.031358885,0.027874564,0.344947735,0.038327526,0.18466899,0.268292683,0.003484321,0.101045296
49,708,605119,0.049435028,0.028248588,0.43220339,0.026836158,0.134180791,0.213276836,0.004237288,0.111581921
50,702,516770,0.037037037,0.034188034,0.492877493,0.021367521,0.178062678,0.180911681,0.005698006,0.04985755
51,449,595751,0.033407572,0.013363029,0.316258352,0.035634744,0.178173719,0.345211581,0.004454343,0.073496659
52,234,623912,0.05106383,0.021276596,0.468085106,0.021276596,0.182978723,0.2,0,0.055319149
53,126,527049,0.031746032,0.015873016,0.388888889,0.031746032,0.150793651,0.253968254,0,0.126984127
54,25,592761,0,0,0.44,0,0.16,0.4,0,0
55,192,624415,0.03125,0,0.369791667,0.03125,0.109375,0.28125,0,0.177083333
56,723,520471,0.052413793,0.023448276,0.44137931,0.033103448,0.16137931,0.230344828,0.004137931,0.053793103
57,451,666971,0.051111111,0.017777778,0.411111111,0.057777778,0.166666667,0.231111111,0.004444444,0.06
