,batters_faced_count,double,double_play,field_out,home_run,pitcher,single,strikeout,triple,walk
0,647,0.04482225656877898,0.027820710973724884,0.5054095826893354,0.02009273570324575,572971.0,0.14992272024729522,0.17001545595054096,0.0077279752704791345,0.07418856259659969
1,899,0.05339265850945495,0.02224694104560623,0.4026696329254728,0.02002224694104561,571578.0,0.13904338153503892,0.2947719688542825,0.0011123470522803112,0.06674082313681869
2,442,0.06334841628959276,0.01583710407239819,0.3891402714932127,0.03619909502262444,543475.0,0.12217194570135745,0.2692307692307692,0.011312217194570135,0.09276018099547513
3,646,0.04173106646058733,0.02009273570324575,0.40494590417310666,0.023183925811437404,543243.0,0.1391035548686244,0.27202472952086554,0.0015455950540958269,0.0973724884080371
4,496,0.0505050505050505,0.020202020202020204,0.4787878787878788,0.03838383838383838,518876.0,0.1494949494949495,0.195959595959596,0.0040404040404040395,0.06262626262626263
5,351,0.045714285714285714,0.011428571428571429,0.4085714285714286,0.045714285714285714,592761.0,0.08571428571428573,0.3142857142857143,0.002857142857142857,0.08571428571428573
6,371,0.029649595687331536,0.013477088948787064,0.4636118598382749,0.03773584905660377,623381.0,0.14285714285714285,0.1940700808625337,0.008086253369272238,0.1105121293800539
7,946,0.03492063492063492,0.030687830687830688,0.4772486772486773,0.016931216931216932,641745.0,0.16084656084656085,0.1693121693121693,0.008465608465608466,0.1015873015873016
8,674,0.04464285714285714,0.014880952380952382,0.4226190476190476,0.03571428571428571,628317.0,0.1175595238095238,0.2767857142857143,0.005952380952380952,0.0818452380952381
9,846,0.04964539007092199,0.02836879432624113,0.4243498817966903,0.03900709219858156,592351.0,0.13829787234042554,0.2257683215130024,0.004728132387706857,0.08983451536643026
10,656,0.045662100456620995,0.0136986301369863,0.4733637747336377,0.0487062404870624,519455.0,0.1689497716894977,0.1750380517503805,0.0136986301369863,0.060882800608827996
11,475,0.0568421052631579,0.01894736842105264,0.4610526315789474,0.02947368421052632,642545.0,0.1431578947368421,0.1873684210526316,0.0042105263157894745,0.09894736842105263
12,307,0.0457516339869281,0.03594771241830065,0.4215686274509804,0.04901960784313725,642231.0,0.14052287581699344,0.1862745098039216,0.006535947712418301,0.11437908496732024
0,369,0.02981029810298103,0.013550135501355014,0.4634146341463415,0.04336043360433604,663978.0,0.10569105691056911,0.27100271002710025,0.0,0.07317073170731707
