,Name,OPG
1,Austin Adams,3.0
2,Austin Adams,3.0
3,Chance Adams,9.0
4,Ehire Adrianza,3.0
5,Dario Agrazal,17.0
6,R.J. Alaniz,3.0
7,Matt Albers,3.0
8,Hanser Alberto,3.0
9,Sandy Alcantara,18.0
10,Victor Alcantara,3.0
11,Scott Alexander,2.0
12,Tyler Alexander,16.0
13,Cody Allen,3.0
14,Logan Allen,9.0
15,Yency Almonte,5.0
16,Dan Altavilla,2.0
17,Aaron Altherr,3.0
18,Jose Alvarado,3.0
19,Jose Alvarez,3.0
20,Adbert Alzolay,11.0
21,Brett Anderson,17.0
22,Chase Anderson,13.0
23,Cody Anderson,5.0
24,Drew Anderson,9.0
25,Justin Anderson,3.0
27,Nick Anderson,3.0
28,Shaun Anderson,16.0
29,Tanner Anderson,13.0
30,Tyler Anderson,12.0
31,Matt Andriese,4.0
32,Victor Arano,4.0
33,Pedro Araujo,1.0
34,Chris Archer,16.0
35,Rogelio Armenteros,10.0
36,Shawn Armstrong,3.0
37,Jake Arrieta,18.0
38,Pedro Avila,15.0
39,Luis Avilan,3.0
40,Michel Baez,3.0
41,Pedro Baez,3.0
42,Sandy Baez,3.0
43,Homer Bailey,15.0
44,Manny Banuelos,10.0
45,Luke Bard,4.0
46,Scott Barlow,4.0
47,Jacob Barnes,3.0
48,Matt Barnes,3.0
49,Tony Barnette,2.0
50,Kyle Barraclough,2.0
51,Jake Barrett,5.0
53,Jaime Barria,13.0
54,Tyler Bashlor,3.0
55,Anthony Bass,4.0
56,Chris Bassitt,17.0
57,Trevor Bauer,20.0
58,Gerson Bautista,3.0
59,Cam Bedrosian,3.0
60,Tyler Beede,15.0
61,Jalen Beeks,10.0
62,Travis Bergen,3.0
63,Jose Berrios,19.0
64,Chad Bettis,5.0
65,Joe Biagini,3.0
66,Jesse Biddle,3.0
67,Shane Bieber,18.0
68,Kyle Bird,3.0
69,Ty Blach,9.0
70,Ray Black,3.0
71,Paul Blackburn,9.0
72,Michael Blazek,4.0
73,Richard Bleier,3.0
74,Jerry Blevins,2.0
75,Ryan Borucki,9.0
76,James Bourque,1.0
77,Matt Bowman,3.0
79,Brad Boxberger,3.0
80,Matthew Boyd,18.0
81,Brad Brach,3.0
82,Chasen Bradford,4.0
83,Archie Bradley,3.0
84,Ryan Brasier,3.0
85,Steven Brault,12.0
86,John Brebbia,3.0
87,Brandon Brennan,3.0
88,Colten Brewer,3.0
89,Austin Brice,4.0
90,Jeff Brigham,5.0
91,Zack Britton,3.0
92,Aaron Brooks,10.0
93,Mike Brosseau,3.0
94,Clay Buchholz,15.0
95,Ryan Buchter,2.0
96,Walker Buehler,18.0
97,Madison Bumgarner,18.0
98,Aaron Bummer,3.0
99,Dylan Bundy,15.0
100,Nick Burdi,2.0
101,Corbin Burnes,5.0
102,Ryan Burr,4.0
103,Ty Buttrey,3.0
105,Genesis Cabrera,7.0
106,Trevor Cahill,10.0
107,Griffin Canning,15.0
108,Matt Carasiti,3.0
109,Victor Caratini,3.0
110,Shane Carle,5.0
111,David Carpenter,1.0
112,Ryan Carpenter,13.0
113,Carlos Carrasco,16.0
114,Andrew Cashner,17.0
115,Diego Castillo,3.0
116,Luis Castillo,18.0
117,Miguel Castro,4.0
118,Dylan Cease,16.0
119,Xavier Cedeno,1.0
120,Luis Cessa,6.0
121,Jhoulys Chacin,14.0
122,Andrew Chafin,2.0
123,Aroldis Chapman,3.0
124,JT Chargois,3.0
125,Tyler Chatwood,7.0
126,Jesse Chavez,5.0
127,Wei-Yin Chen,4.0
128,Yonny Chirinos,17.0
129,Adam Cimber,3.0
131,Steve Cishek,3.0
132,Jose Cisnero,4.0
