,Player,Team,Position,Role,Roster,key_mlbam,daily player reformat
1,adam jones,Arizona Diamondbacks,Outfield,Batter,Active,430945,adam jones
2,alex avila,Arizona Diamondbacks,Inactive,Inactive,Inactive,488671,alex avila
3,andrew chafin,Arizona Diamondbacks,Pitcher,Bullpen,Active,605177,andrew chafin
4,archie bradley,Arizona Diamondbacks,Pitcher,Bullpen,Active,605151,archie bradley
5,bo takahashi,Arizona Diamondbacks,Inactive,Inactive,Inactive,649963,bo takahashi
6,caleb joseph,Arizona Diamondbacks,Catcher,Batter,Active,543376,caleb joseph
7,carson kelly,Arizona Diamondbacks,Catcher,Batter,Active,608348,carson kelly
8,christian walker,Arizona Diamondbacks,Infield,Batter,Active,572233,christian walker
9,david peralta,Arizona Diamondbacks,Outfield,Batter,Active,444482,david peralta
10,domingo leyba,Arizona Diamondbacks,Inactive,Inactive,Inactive,642736,domingo leyba
11,eduardo escobar,Arizona Diamondbacks,Infield,Batter,Active,500871,eduardo escobar
12,emilio vargas,Arizona Diamondbacks,Inactive,Inactive,Inactive,642496,emilio vargas
13,greg holland,Arizona Diamondbacks,Pitcher,Bullpen,Active,518813,greg holland
14,ildemaro vargas,Arizona Diamondbacks,Infield,Batter,Active,545121,ildemaro vargas
15,jake lamb,Arizona Diamondbacks,Inactive,Inactive,Inactive,571875,jake lamb
16,jarrod dyson,Arizona Diamondbacks,Outfield,Batter,Active,502481,jarrod dyson
17,jimmie sherfy,Arizona Diamondbacks,Inactive,Inactive,Inactive,642073,jimmie sherfy
18,joel payamps,Arizona Diamondbacks,Inactive,Inactive,Inactive,606303,joel payamps
19,joey krehbiel,Arizona Diamondbacks,Inactive,Inactive,Inactive,607216,joey krehbiel
20,john ryan murphy,Arizona Diamondbacks,Catcher,Batter,Active,571974,john ryan murphy
21,jon duplantier,Arizona Diamondbacks,Inactive,Inactive,Inactive,641541,jon duplantier
22,ketel marte,Arizona Diamondbacks,Infield,Batter,Active,606466,ketel marte
23,kevin cron,Arizona Diamondbacks,Inactive,Inactive,Inactive,605196,kevin cron
24,luke weaver,Arizona Diamondbacks,Pitcher,Starter,Active,596133,luke weaver
25,matt andriese,Arizona Diamondbacks,Pitcher,Bullpen,Active,542882,matt andriese
26,matt koch,Arizona Diamondbacks,Pitcher,Bullpen,Active,571863,matt koch
27,merrill kelly,Arizona Diamondbacks,Pitcher,Starter,Active,518876,merrill kelly
28,nick ahmed,Arizona Diamondbacks,Infield,Batter,Active,605113,nick ahmed
29,robbie ray,Arizona Diamondbacks,Pitcher,Starter,Active,592662,robbie ray
30,robby scott,Arizona Diamondbacks,Inactive,Inactive,Inactive,582494,robby scott
31,steven souza,Arizona Diamondbacks,Inactive,Inactive,Inactive,519306,steven souza
