Team x,Team Y
Arizona Diamondbacks,Diamondbacks
Atlanta Braves,Braves
San Francisco Giants,Giants
Washington Nationals,Nationals
Toronto Blue Jays,Blue Jays
Minnesota Twins,Twins
Chicago White Sox,White Sox
Detroit Tigers,Tigers
Kansas City Royals,Royals
New York Yankees,Yankees
Baltimore Orioles,Orioles
Tampa Bay Rays,Rays
Los Angeles Dodgers,Dodgers
Milwaukee Brewers,Brewers
Philadelphia Phillies,Phillies
Colorado Rockies,Rockies
Seattle Mariners,Mariners
Los Angeles Angels,Angels
Cincinnati Reds,Reds
San Diego Padres,Padres
Boston Red Sox,Red Sox
Cleveland Indians,Indians
Houston Astros,Astros
Oakland Athletics,Athletics
Texas Rangers,Rangers
Miami Marlins,Marlins
New York Mets,Mets
Chicago Cubs,Cubs
St. Louis Cardinals,Cardinals
Pittsburgh Pirates,Pirates
